Date,ID_Joueur,Temps_Jeu,Victoires,Achats_Objets,Satisfaction,Région,Serveur,Latitude,Longitude
2023-01-28,1653,154.9012816549065,0,0,82.1,OC,Stable,72.55533082235237,-173.14606618802964
2023-01-15,1653,152.06376964182877,1,0,98.4,EU,Stable,15.130355909510143,58.89348746273939
2023-01-28,1653,81.42000880450519,2,0,93.8,OC,Stable,-15.057743257888873,136.24959444553645
2023-01-07,1653,87.34766292981463,2,0,93.8,SA,Stable,78.85793147606137,-48.63394144918624
2023-01-12,1653,196.81508878067052,2,0,85.2,EU,Stable,35.67738413553151,78.33811151938983
2023-01-29,1653,172.5277782578143,1,50,50.9,NA,Stable,30.52308273858013,47.56668376338612
2023-01-08,1653,119.05444460015687,2,0,72.0,SA,Stable,-31.035858723474547,-146.73470405844225
2023-01-15,1653,127.72119319252049,0,200,75.6,OC,Stable,10.752747215784169,-68.4230025624583
2023-01-03,1653,101.07460791158434,0,50,92.1,OC,Stable,-5.4733244124320635,65.41235040843313
2023-01-14,1653,132.9705814260102,1,0,96.1,OC,Stable,-18.15297251191697,-169.61312689306092
2023-01-17,1653,98.48454297832586,1,0,72.6,OC,Stable,-88.81794057719216,17.600650985506377
2023-01-04,1653,59.02938707104846,2,50,65.0,AF,Stable,-37.07871868805023,16.35535746305544
2023-01-18,1653,,1,50,66.9,SA,Stable,86.29537497943684,101.30880544351817
2023-01-08,1653,,0,100,,EU,Stable,50.458506835683494,171.72367729066855
2023-01-04,1653,86.06798293492237,2,50,,AF,Hors-Ligne,20.686528857903483,-162.2359188525253
2023-01-02,1653,117.98167605259397,1,0,95.5,SA,Stable,-14.96729880141362,-146.822272672184
2023-01-30,1653,87.7601688170141,2,0,70.9,EU,Stable,-76.15537277049084,-69.23853777257214
2023-01-06,1182,96.5293823249402,2,50,99.5,AS,Stable,19.70162614848239,26.845607901526364
2023-01-22,1182,145.59495919239575,0,0,55.5,AS,Dégradé,-40.97413041378875,-173.10661753938732
2023-01-10,1182,127.42441642920313,0,0,59.4,,Stable,13.707199297874197,-75.17422695230638
2023-01-04,1182,119.71006736059958,0,50,75.6,EU,Stable,80.45798127145127,-136.8101723191761
2023-01-22,1182,,0,0,93.4,EU,Stable,51.47769623716616,45.81683615427937
2023-01-29,1182,134.4182578004204,0,0,67.7,AS,Dégradé,82.90028456795582,76.75033377451416
2023-01-18,1182,163.39689873754102,1,50,91.9,EU,Stable,60.78972944718828,-172.0862676507137
2023-01-26,1182,106.20422213054579,3,0,71.3,EU,Stable,-74.22797636127135,156.7364261612148
2023-01-12,1182,107.11095064417474,2,50,92.6,SA,Stable,-72.5605633082553,85.23860153955309
2023-01-02,1182,80.96672200825964,2,50,63.9,,Dégradé,31.89159903133111,-61.31351338761134
2023-01-10,1182,107.1305784788274,0,0,73.6,OC,Stable,28.14915015397527,80.01774440893456
2023-01-30,1182,148.94309682907337,1,0,63.9,OC,Hors-Ligne,-21.619257638179988,-15.955771035867116
2023-01-04,1182,158.999621167864,1,50,60.8,,Stable,-80.34910228690151,64.1460955117229
2023-01-14,1182,148.80915504260003,0,0,71.1,SA,Dégradé,38.47861290678665,-28.099249027535393
2023-01-16,1182,66.17424400351692,2,0,66.7,EU,Stable,-71.1128303675501,-20.911164137951488
2023-01-15,1182,152.49435637982202,3,200,89.4,NA,Dégradé,24.37370497456091,-112.01323250797181
2023-01-08,1182,64.84444130183788,1,50,87.4,SA,Stable,-81.34236914643797,132.16860105031736
2023-01-14,1182,146.94351972367042,2,0,67.9,NA,Stable,-57.260042683489125,148.70009491013656
2023-01-23,1182,108.96646420286834,0,0,99.6,AS,Stable,10.172774538351533,-36.329523514240634
2023-01-28,1182,141.07599941801567,1,500,98.7,NA,Stable,17.51113187822949,-40.64505342378493
2023-01-25,1182,,0,50,95.9,SA,Stable,30.96444338090184,-123.06064549775593
2023-01-30,1182,155.1350289811844,0,0,79.3,AF,Dégradé,-70.07039803202974,-63.27709468695387
2023-01-08,1182,76.05075761685333,2,50,70.6,,Stable,-9.972912514541704,108.74598434152216
2023-01-21,1182,99.94635267440466,2,0,,AS,Stable,-65.90930762549644,-30.090383455867794
2023-01-16,1182,90.05716116692895,1,0,50.8,NA,Stable,78.54173057468805,102.98921443152125
2023-01-13,1182,67.37145441532503,1,0,81.6,OC,Stable,60.18255118861316,127.56521642812504
2023-01-18,1182,122.83582702765405,1,0,,NA,Stable,11.658060719578856,-56.52473890018355
2023-01-15,1182,174.18267353510885,2,50,81.5,AF,Stable,-12.467788845212567,175.83676200343496
2023-01-21,1182,200.00715666960025,4,0,78.8,NA,Stable,-31.54122721026374,34.08406227456334
2023-01-24,1182,122.91467361258744,2,50,56.9,EU,Stable,51.43278244738238,-59.0205560658907
2023-01-26,1236,153.50043825202567,2,0,84.8,OC,Stable,1.7583441269410827,-138.52327850529093
2023-01-25,1236,126.96283913785612,1,0,68.0,AF,Stable,-87.81612912616878,-64.89163359804152
2023-01-28,1236,134.96649584304637,1,0,75.8,AS,Stable,12.661545819208158,-126.51068435114101
2023-01-28,1236,109.73554046618284,0,0,68.3,AS,Stable,64.26649533223036,95.93601966650726
2023-01-28,1236,125.85230776267807,0,0,51.1,AS,Stable,19.177843398512508,-85.74548173461227
2023-01-13,1236,136.12436113819285,2,0,93.8,NA,Stable,-77.30504014224084,-55.80583565231075
2023-01-09,1236,102.64620813371006,2,50,,AF,Stable,16.279882253903324,-65.2522314634766
2023-01-29,1236,117.67517100321037,1,50,79.1,OC,Dégradé,44.979093250568326,36.941637876695836
2023-01-15,1236,118.24709643007536,1,50,94.2,AS,Dégradé,42.930978241059506,-52.550855520677246
2023-01-13,1236,144.79209951991572,0,50,,AF,Stable,7.483777657596846,-128.22007152059172
2023-01-01,1236,88.01903485116958,1,100,70.6,AS,Stable,45.53200126232986,45.29790209429882
2023-01-25,1236,118.45373374177045,1,0,68.9,AF,Dégradé,-68.78126523894994,2.7269011778475374
2023-01-07,1236,177.36016407158093,1,500,54.5,NA,Stable,-42.925348306462624,93.02022933771502
2023-01-09,1236,154.92180457757814,3,0,71.2,SA,Dégradé,-49.13340412766769,-87.95941290213902
2023-01-24,1236,160.47537146666116,0,50,74.0,AF,Dégradé,-27.242822494852234,130.175436637823
2023-01-01,1236,120.73295520534103,1,50,51.3,AS,Stable,24.60846244647621,-42.58228394617092
2023-01-12,1236,129.6299269105807,1,0,74.4,OC,Dégradé,2.5176933779860633,44.350669096260305
2023-01-08,1236,150.06708500108778,4,500,,AS,Stable,-5.9337211364276925,176.82910232393505
2023-01-24,1236,166.80766588592792,2,0,94.6,NA,Dégradé,11.48857957652649,68.31561671988791
2023-01-11,1236,61.4519126135134,1,0,,SA,Hors-Ligne,-17.852877781727884,6.107253328071948
2023-01-19,1236,80.53676078850464,4,0,52.8,SA,Stable,83.66020542178089,-82.98976411388891
2023-01-17,1236,159.28332304207945,1,0,91.4,,Stable,-87.59852842452474,-36.41381766387789
2023-01-08,1236,111.69331932693589,0,50,68.1,AF,Stable,-34.47796387102374,-148.58727468284823
2023-01-03,1236,99.84837632225768,1,0,61.3,SA,Stable,87.40330928058313,-89.3560147811643
2023-01-03,1236,82.37517039013188,0,100,62.7,AF,Dégradé,76.27559401890915,-57.60041019785885
2023-01-01,1236,103.34949895367672,1,50,79.9,AS,Stable,59.99110972358099,122.53757089232556
2023-01-27,1236,77.92892149728524,3,0,54.1,AF,Stable,-62.09356064422785,-146.67374819604234
2023-01-05,1236,182.7328281819743,2,0,52.9,EU,Stable,55.21889019541939,-32.41372337932887
2023-01-10,1236,119.3269184405828,0,0,81.4,NA,Stable,-73.39967611886705,4.273338373424565
2023-01-07,1236,118.26148374711848,0,200,99.1,AS,Dégradé,-75.95674486217304,164.72268558472308
2023-01-26,1695,137.64230025503497,0,50,74.2,AF,Dégradé,-75.4247836595841,-45.03123398209155
2023-01-09,1695,148.8703550779971,0,0,70.7,AS,Dégradé,14.834826580499765,172.8709099116781
2023-01-28,1695,148.37664469663918,0,0,97.4,NA,Stable,34.18637717777267,-0.7233750075890555
2023-01-07,1695,152.20865831722716,1,0,62.0,,Dégradé,-43.909191949959634,75.9959623345477
2023-01-09,1695,101.0746334762743,2,0,62.0,AS,Stable,27.538766856028374,-146.79743525349176
2023-01-08,1695,111.06399585129417,2,50,95.3,SA,Stable,-7.532161376779726,67.71630387954525
2023-01-12,1695,143.07094966326827,0,50,82.3,OC,Stable,85.23753511411886,-144.91869129114056
2023-01-02,1695,104.1783281508114,1,0,52.7,AS,Stable,-28.056715474459224,12.276161265036905
2023-01-01,1695,119.84680103918325,0,100,83.7,EU,Stable,32.97420924745367,-59.36228471610646
2023-01-16,1695,131.96291293274442,0,0,91.0,AS,Stable,-66.97580289311337,-64.04227563960563
2023-01-23,1695,143.5555524693113,1,0,,AF,Dégradé,-79.42591100010787,-149.86041063030888
2023-01-23,1695,66.66957112889396,0,50,69.1,EU,Dégradé,22.66801108131267,68.55170105093987
2023-01-30,1695,141.44236949666836,1,0,59.9,AS,Stable,-44.35860072007641,19.29687307027092
2023-01-24,1695,112.98827826444824,2,0,81.7,AS,Stable,74.68425311501926,-38.59681331628633
2023-01-05,1695,141.22373132593142,1,0,83.2,EU,Stable,-87.16491941610947,171.58691398892086
2023-01-03,1695,143.30795077064485,2,0,53.4,OC,Stable,79.48427921355278,-169.08294142903782
2023-01-12,1695,168.2374518335747,0,0,83.9,EU,Stable,-86.31616881477878,52.85928912059947
2023-01-08,1695,160.6036094286361,2,50,82.9,OC,Dégradé,26.564960176930214,-9.176007472102867
2023-01-22,1695,160.39714987830888,0,0,51.8,OC,Stable,61.92697972863553,127.5048816044773
2023-01-27,1695,163.31010957498717,0,0,77.8,EU,Dégradé,-12.608449816087997,100.02591380201204
2023-01-03,1695,128.74136954447837,0,0,80.7,AF,Stable,28.81682068968979,-123.65803814114764
2023-01-01,1695,120.9655526111052,1,0,71.5,NA,Dégradé,-37.13045714588726,-46.49022706231864
2023-01-03,1695,146.18451249535002,1,0,95.1,EU,Dégradé,-6.347751917877602,74.2487390747381
2023-01-05,1695,141.96242854299066,4,100,66.4,NA,Dégradé,-58.842745022360475,-31.20511937231899
2023-01-15,1695,110.7280128978522,2,100,53.4,AF,Stable,-48.79163873391336,66.79266539133056
2023-01-14,1695,132.14470226424805,1,0,83.6,AF,Stable,70.97242389016208,131.85755849774858
2023-01-03,1695,118.94710599646217,1,100,80.3,AF,Hors-Ligne,37.84396153850183,80.33475589132735
2023-01-01,1695,94.38201274619831,1,0,99.5,AF,Stable,61.57207295953876,14.581048525272877
2023-01-05,1695,158.7138222412905,2,0,61.6,AS,Stable,-16.629648413140714,105.61141458533541
2023-01-26,1695,121.65597727590267,2,50,69.8,,Stable,-67.03023525566806,135.79921874163688
2023-01-23,1722,181.4612477309655,1,50,73.1,SA,Stable,74.28814509880013,-34.78753403445805
2023-01-14,1722,71.23523189400501,1,0,93.1,AS,Stable,83.853584525814,128.4073918799271
2023-01-07,1722,103.29663681469901,2,0,70.7,AS,Stable,63.35578517222817,109.40280677097093
2023-01-27,1722,120.97916510072615,0,0,88.6,NA,Stable,11.346450732273254,-32.1916193549518
2023-01-09,1722,154.12143292886742,0,0,57.8,NA,Stable,0.19837755919940037,-159.09343517730176
2023-01-15,1722,131.98408117806554,1,0,70.5,SA,Hors-Ligne,71.07448196055137,144.27435090761384
2023-01-15,1722,129.31418262542255,2,50,57.7,AS,Stable,-15.87802547152529,-96.27272263614196
2023-01-26,1722,86.18208622337559,1,0,97.5,NA,Stable,15.6583780218496,135.57286842420189
2023-01-10,1722,85.29175808311587,4,0,58.9,EU,Stable,-15.442275169999917,73.6392815367852
2023-01-28,1722,129.67513980869714,0,0,71.0,OC,Stable,-75.86331818670763,176.37494284649176
2023-01-13,1722,79.07682018544925,1,100,54.1,AF,Stable,69.5012256617783,-105.29725574407985
2023-01-19,1722,104.04366749132015,1,0,96.1,OC,Hors-Ligne,39.994245571543246,-75.92688149204864
2023-01-07,1722,135.02751987257574,3,0,81.2,NA,Dégradé,-6.430696612725043,-146.68906730278405
2023-01-17,1722,,0,0,98.1,SA,Stable,-60.776588301896474,176.0638533093774
2023-01-20,1722,168.1606788708542,1,50,52.1,NA,Stable,-58.14441343153548,43.05895142911564
2023-01-29,1722,156.7180903271367,0,0,58.7,SA,Stable,29.5307937452054,-83.17793117843203
2023-01-04,1722,72.85740004985098,1,0,69.0,AS,Dégradé,78.6933931050153,-5.8287655563162275
2023-01-30,1722,92.02886270454039,2,0,81.1,EU,Stable,-12.867991047593591,169.6176650617988
2023-01-05,1722,51.4266826651515,1,0,66.5,AS,Stable,-9.941584807377524,-54.92604792569557
2023-01-23,1722,96.52225912355601,2,0,85.6,EU,Stable,33.42175146044947,111.00511540862362
2023-01-07,1722,142.99165429717198,3,0,58.3,SA,Stable,63.90920599003434,-133.03329814312235
2023-01-13,1722,,0,0,80.0,NA,Stable,54.67657110987656,81.75084205484609
2023-01-15,1722,133.82391730847903,2,50,69.9,NA,Stable,38.641196906729476,-42.51291992430191
2023-01-11,1722,74.32997045154767,0,0,75.4,NA,Stable,-43.36295035311936,-110.20766214298409
2023-01-29,1722,143.93925763745716,0,50,78.5,NA,Stable,-59.11115463611917,137.06072716621168
2023-01-04,1722,,1,0,53.0,AS,Dégradé,-88.70637882570342,17.961015044789548
2023-01-13,1722,120.36509046848715,2,500,96.2,AS,Stable,84.52083392300267,-44.84861868831365
2023-01-07,1722,117.21376495820842,1,500,89.3,SA,Stable,-11.95976247515209,-34.475846581546705
2023-01-27,1722,81.85354437323149,0,50,72.1,EU,Stable,-54.19717959582849,-153.74070195113273
2023-01-19,1722,85.40747004780653,3,500,77.4,EU,Stable,-67.96354308667868,-2.590432856067281
2023-01-22,1973,149.03383407010278,2,0,51.6,EU,Stable,-63.08438485272352,81.13953942742523
2023-01-28,1973,131.96976472505088,0,50,74.9,NA,Stable,-29.673993468336747,116.30720581807361
2023-01-02,1973,151.5014712466028,1,0,71.3,AS,Dégradé,64.5518416855997,119.3608999577894
2023-01-10,1973,129.73974706507556,0,50,68.7,OC,Stable,84.65320622602778,123.75061673610674
2023-01-13,1973,124.2897190442765,1,0,90.8,OC,Stable,1.291507771556283,125.30834542610802
2023-01-30,1973,68.219681439997,1,0,59.1,NA,Stable,-32.67681078580527,-11.190963653236622
2023-01-25,1973,111.88899909716491,1,500,58.8,OC,Dégradé,-58.41688451099887,-24.09096378142246
2023-01-21,1973,119.17847038788769,0,0,76.1,EU,Stable,-38.26446321484905,-140.0476911590642
2023-01-06,1973,178.59321594817723,2,50,84.4,EU,Stable,21.426100283446104,-75.04612418844935
2023-01-28,1973,140.60869896296032,0,50,51.1,SA,Stable,80.14619890550065,-98.82332426495401
2023-01-28,1973,166.08183545128585,1,0,77.3,NA,Stable,-1.5984663612215826,39.757606464580846
2023-01-12,1973,137.92613117684184,0,0,64.9,SA,Stable,-64.83297264829815,-63.43447704355073
2023-01-12,1973,98.66090319151562,1,0,87.8,EU,Stable,80.31301225866966,11.84305530478764
2023-01-20,1973,123.51372648449554,0,200,73.4,AS,Stable,83.31505754426499,-43.993310699362155
2023-01-30,1973,127.08670938792699,1,500,91.7,NA,Stable,71.12907936946814,140.4512937067758
2023-01-30,1973,91.82533290687955,1,50,69.8,AF,Hors-Ligne,64.64871392775052,-27.079642726860783
2023-01-11,1973,108.46837870221236,0,100,91.4,SA,Stable,49.936570887324905,121.70939075744246
2023-01-26,1973,113.82699018968484,0,0,85.8,,Stable,-67.29190706969166,-165.16924904509395
2023-01-23,1973,168.16859497695356,1,0,91.4,EU,Dégradé,-31.10074372590573,-168.19289609887684
2023-01-28,1973,57.57778423827065,0,0,90.6,SA,Hors-Ligne,45.74722786311415,82.98932848139617
2023-01-25,1973,156.1745526214813,1,0,74.3,EU,Stable,65.92682398110594,75.47891157991427
2023-01-07,1973,91.89614295121852,1,0,68.4,,Stable,-49.05891279697765,-171.57547405428326
2023-01-30,1973,78.83762438191158,1,0,88.3,SA,Stable,21.760394414492453,-4.417818202451514
2023-01-01,1973,155.39826390115394,4,50,68.1,EU,Stable,-79.37355041068568,-162.18088022792432
2023-01-01,1973,141.95694207703144,1,0,54.5,EU,Stable,64.06508028885034,-120.00147187938327
2023-01-25,1973,157.6355610714357,2,0,92.9,AS,Stable,-27.45800672083817,166.60765523596893
2023-01-27,1973,144.0210584263673,2,0,69.9,SA,Stable,-54.611771939625356,-57.54246154063138
2023-01-30,1973,181.79535005212205,3,50,56.6,AF,Stable,60.77544928740977,-11.03603538442195
2023-01-25,1973,136.76171510833456,0,0,82.3,AF,Stable,-59.304335677224,65.74872119957396
2023-01-20,1973,115.30567871630525,2,0,94.5,AS,Stable,-7.0759791674799715,151.32154007826585
2023-01-13,1772,130.2877913196403,3,50,93.0,AS,Stable,-72.79823790485895,-126.42251356808198
2023-01-09,1772,157.3040738503789,1,0,77.7,AS,Stable,-9.901024135684025,-98.33122899345226
2023-01-03,1772,96.6187402421965,1,0,54.4,AF,Stable,76.34601576723253,21.4647568764141
2023-01-07,1772,100.44334252405858,4,50,84.8,SA,Dégradé,34.850839443527605,57.9332819071374
2023-01-06,1772,110.73119956206278,1,0,80.4,OC,Stable,87.18462326383903,-23.361322044873532
2023-01-08,1772,56.86251603704003,1,0,60.5,AF,Stable,-9.355794397017462,55.172918721573154
2023-01-27,1772,124.14235225252641,2,0,95.0,EU,Stable,70.05812971334035,-175.8878904728082
2023-01-09,1772,63.416138881469216,1,0,54.3,,Stable,74.02688380847974,-108.8594129683367
2023-01-30,1772,121.59177938797858,0,0,68.7,AS,Stable,-73.71909697822184,121.32707551538823
2023-01-05,1772,145.9586926840575,1,0,54.7,AS,Stable,86.22588229720316,92.12426338309575
2023-01-01,1772,105.69370618068493,1,100,95.6,OC,Stable,70.59609327105375,48.85744132235371
2023-01-19,1772,170.31347610560613,2,0,51.8,NA,Stable,22.75199287999355,17.55112377841715
2023-01-10,1772,76.18497301744537,1,0,71.3,EU,Stable,6.556861660214523,-107.9363985964727
2023-01-12,1772,155.73782044895498,2,0,93.1,NA,Dégradé,-20.66784282912289,-82.16863808968131
2023-01-24,1772,140.25411169220763,1,100,62.6,AS,Stable,15.528751944851876,167.12209514815788
2023-01-15,1772,68.51900255067933,1,50,55.3,EU,Stable,42.591642861764086,-179.33410790596184
2023-01-27,1772,201.323828971216,0,0,56.4,EU,Stable,37.54421906195505,-21.17538691997666
2023-01-22,1772,118.08764143488102,1,0,70.2,AS,Stable,-35.94411734836973,-176.2981132266305
2023-01-24,1772,93.67547933533105,2,0,,NA,Stable,30.908160257035576,-56.74859463643732
2023-01-09,1772,77.78738415647949,0,0,85.9,NA,Stable,-89.16239604377536,-62.986579245968755
2023-01-20,1772,113.39945917020978,2,0,61.9,SA,Stable,-59.42891297490084,-138.29604784774057
2023-01-17,1772,116.1777938283012,0,0,85.1,SA,Stable,-62.66381997721879,-155.00534314541497
2023-01-30,1772,123.07936585618994,0,0,99.9,OC,Stable,43.38423556178549,126.77564971123394
2023-01-17,1772,111.06611531328119,0,0,93.2,OC,Stable,71.45562616487658,-63.29137271012908
2023-01-26,1772,138.9967593034528,2,0,81.8,NA,Stable,-74.45841448516204,21.488187844967143
2023-01-20,1772,108.3711050201026,0,0,97.0,AS,Stable,74.12960079548341,92.48884295145484
2023-01-12,1772,61.95107648278587,1,0,99.6,NA,Stable,-34.80942310753497,13.953450608580653
2023-01-30,1772,115.51915513051077,1,100,78.5,EU,Stable,22.081971573710177,-22.543437143511113
2023-01-07,1772,48.975670398801654,1,50,63.7,SA,Stable,-60.49233850806659,-3.909793426480263
2023-01-02,1772,130.6131189267417,1,500,95.7,SA,Stable,-17.496843860190182,120.75899598436007
2023-01-03,1608,90.62099309152094,1,0,92.2,AF,Stable,-6.8484852983279865,11.080901358914588
2023-01-17,1608,124.90081064747402,3,0,54.2,NA,Stable,-22.57677481987396,-113.77211271194128
2023-01-05,1608,159.42224944573812,1,50,96.8,EU,Stable,57.983481738471795,-113.11039047888458
2023-01-17,1608,91.53753914196,0,0,,NA,Stable,15.044997869812192,0.514857997560398
2023-01-24,1608,151.83768775536353,1,0,66.1,AF,Stable,-0.695615742012194,-107.37051818023049
2023-01-17,1608,106.9983129994154,1,0,67.2,NA,Stable,51.11436079641689,104.80502513799786
2023-01-27,1608,172.59584406196757,1,0,66.0,,Stable,37.683772179976145,134.5536482803816
